Bus Monitor Log File,,,,
Date: 7/27/2021 2:33:17 PM,,,,
 ,,,,
---------------------------------------------------,,,,
 ,,,,
Date, ID, Counts, Data, MsgType
31:52.2,0x168,CAN 1,153,0E 00 C8 00 00 00 00 02 
31:52.2,0x271,CAN 1,49,A9 00 00 00 00 00 00 48 
31:52.2,0x265,CAN 1,49,B4 20 00 00 00 00 00 08 
31:52.2,0x168,CAN 1,154,13 00 C8 00 00 00 00 03 
31:52.2,0x265,CAN 1,50,A9 20 00 00 00 00 00 09 
31:52.2,0x271,CAN 1,50,B4 00 00 00 00 00 00 49 
31:52.2,0x168,CAN 1,155,40 00 C8 00 00 00 00 04 
31:52.2,0x265,CAN 1,51,8E 20 00 00 00 00 00 0A 
31:52.2,0x271,CAN 1,51,93 00 00 00 00 00 00 4A 
31:52.2,0x168,CAN 1,156,5D 00 C8 00 00 00 00 05 
31:52.2,0x265,CAN 1,52,93 20 00 00 00 00 00 0B 
31:52.2,0x271,CAN 1,52,8E 00 00 00 00 00 00 4B 
31:52.2,0x168,CAN 1,157,7A 00 C8 00 00 00 00 06 
31:52.3,0x265,CAN 1,53,C0 20 00 00 00 00 00 0C 
31:52.3,0x271,CAN 1,53,DD 00 00 00 00 00 00 4C 
31:52.3,0x168,CAN 1,158,67 00 C8 00 00 00 00 07 
31:52.3,0x271,CAN 1,54,C0 00 00 00 00 00 00 4D 
31:52.3,0x265,CAN 1,54,DD 20 00 00 00 00 00 0D 
31:52.3,0x168,CAN 1,159,DC 00 C8 00 00 00 00 08 
31:52.3,0x271,CAN 1,55,E7 00 00 00 00 00 00 4E 
31:52.3,0x265,CAN 1,55,FA 20 00 00 00 00 00 0E 
31:52.3,0x168,CAN 1,160,C1 00 C8 00 00 00 00 09 
31:52.3,0x271,CAN 1,56,FA 00 00 00 00 00 00 4F 
31:52.3,0x265,CAN 1,56,E7 20 00 00 00 00 00 0F 
31:52.3,0x168,CAN 1,161,E6 00 C8 00 00 00 00 0A 
31:52.3,0x271,CAN 1,57,41 00 00 00 00 00 00 40 
31:52.3,0x265,CAN 1,57,5C 20 00 00 00 00 00 00 
31:52.3,0x168,CAN 1,162,FB 00 C8 00 00 00 00 0B 
31:52.4,0x271,CAN 1,58,5C 00 00 00 00 00 00 41 
31:52.4,0x265,CAN 1,58,41 20 00 00 00 00 00 01 
31:52.4,0x168,CAN 1,163,A8 00 C8 00 00 00 00 0C 
31:52.4,0x271,CAN 1,59,7B 00 00 00 00 00 00 42 
31:52.4,0x265,CAN 1,59,66 20 00 00 00 00 00 02 
31:52.4,0x168,CAN 1,164,B5 00 C8 00 00 00 00 0D 
31:52.4,0x271,CAN 1,60,66 00 00 00 00 00 00 43 
31:52.4,0x265,CAN 1,60,7B 20 00 00 00 00 00 03 
31:52.4,0x168,CAN 1,165,92 00 C8 00 00 00 00 0E 
31:52.4,0x271,CAN 1,61,35 00 00 00 00 00 00 44 
31:52.4,0x265,CAN 1,61,28 20 00 00 00 00 00 04 
31:52.4,0x168,CAN 1,166,34 00 C8 00 00 00 00 00 
31:52.4,0x271,CAN 1,62,28 00 00 00 00 00 00 45 
31:52.4,0x265,CAN 1,62,35 20 00 00 00 00 00 05 
31:52.4,0x168,CAN 1,167,29 00 C8 00 00 00 00 01 
31:52.5,0x265,CAN 1,63,12 20 00 00 00 00 00 06 
31:52.5,0x271,CAN 1,63,0F 00 00 00 00 00 00 46 
31:52.5,0x168,CAN 1,168,0E 00 C8 00 00 00 00 02 
31:52.5,0x265,CAN 1,64,0F 20 00 00 00 00 00 07 
31:52.5,0x271,CAN 1,64,12 00 00 00 00 00 00 47 
31:52.5,0x168,CAN 1,169,13 00 C8 00 00 00 00 03 
31:52.5,0x265,CAN 1,65,B4 20 00 00 00 00 00 08 
31:52.5,0x271,CAN 1,65,A9 00 00 00 00 00 00 48 
31:52.5,0x168,CAN 1,170,40 00 C8 00 00 00 00 04 
31:52.5,0x265,CAN 1,66,A9 20 00 00 00 00 00 09 
31:52.5,0x271,CAN 1,66,B4 00 00 00 00 00 00 49 
31:52.5,0x168,CAN 1,171,5D 00 C8 00 00 00 00 05 
31:52.5,0x271,CAN 1,67,93 00 00 00 00 00 00 4A 
31:52.5,0x265,CAN 1,67,8E 20 00 00 00 00 00 0A 
31:52.5,0x168,CAN 1,172,7A 00 C8 00 00 00 00 06 
31:52.6,0x271,CAN 1,68,8E 00 00 00 00 00 00 4B 
31:52.6,0x265,CAN 1,68,93 20 00 00 00 00 00 0B 
31:52.6,0x168,CAN 1,173,67 00 C8 00 00 00 00 07 
31:52.6,0x271,CAN 1,69,DD 00 00 00 00 00 00 4C 
31:52.6,0x265,CAN 1,69,C0 20 00 00 00 00 00 0C 
31:52.6,0x168,CAN 1,174,DC 00 C8 00 00 00 00 08 
31:52.6,0x271,CAN 1,70,C0 00 00 00 00 00 00 4D 
31:52.6,0x265,CAN 1,70,DD 20 00 00 00 00 00 0D 
31:52.6,0x168,CAN 1,175,C1 00 C8 00 00 00 00 09 
31:52.6,0x265,CAN 1,71,FA 20 00 00 00 00 00 0E 
31:52.6,0x271,CAN 1,71,E7 00 00 00 00 00 00 4E 
31:52.6,0x168,CAN 1,176,E6 00 C8 00 00 00 00 0A 
31:52.6,0x265,CAN 1,72,E7 20 00 00 00 00 00 0F 
31:52.6,0x271,CAN 1,72,FA 00 00 00 00 00 00 4F 
31:52.6,0x168,CAN 1,177,FB 00 C8 00 00 00 00 0B 
31:52.7,0x265,CAN 1,73,5C 20 00 00 00 00 00 00 
31:52.7,0x271,CAN 1,73,41 00 00 00 00 00 00 40 
31:52.7,0x168,CAN 1,178,A8 00 C8 00 00 00 00 0C 
31:52.7,0x271,CAN 1,74,5C 00 00 00 00 00 00 41 
31:52.7,0x265,CAN 1,74,41 20 00 00 00 00 00 01 
31:52.7,0x168,CAN 1,179,B5 00 C8 00 00 00 00 0D 
31:52.7,0x265,CAN 1,75,66 20 00 00 00 00 00 02 
31:52.7,0x271,CAN 1,75,7B 00 00 00 00 00 00 42 
31:52.7,0x168,CAN 1,180,92 00 C8 00 00 00 00 0E 
31:52.7,0x265,CAN 1,76,7B 20 00 00 00 00 00 03 
31:52.7,0x271,CAN 1,76,66 00 00 00 00 00 00 43 
31:52.7,0x168,CAN 1,181,34 00 C8 00 00 00 00 00 
31:52.7,0x265,CAN 1,77,28 20 00 00 00 00 00 04 
31:52.7,0x271,CAN 1,77,35 00 00 00 00 00 00 44 
31:52.7,0x168,CAN 1,182,29 00 C8 00 00 00 00 01 
31:52.8,0x265,CAN 1,78,35 20 00 00 00 00 00 05 
31:52.8,0x271,CAN 1,78,28 00 00 00 00 00 00 45 
31:52.8,0x168,CAN 1,183,0E 00 C8 00 00 00 00 02 
31:52.8,0x271,CAN 1,79,0F 00 00 00 00 00 00 46 
31:52.8,0x265,CAN 1,79,12 20 00 00 00 00 00 06 
31:52.8,0x168,CAN 1,184,13 00 C8 00 00 00 00 03 
31:52.8,0x271,CAN 1,80,12 00 00 00 00 00 00 47 
31:52.8,0x265,CAN 1,80,0F 20 00 00 00 00 00 07 
31:52.8,0x168,CAN 1,185,40 00 C8 00 00 00 00 04 
31:52.8,0x271,CAN 1,81,A9 00 00 00 00 00 00 48 
31:52.8,0x265,CAN 1,81,B4 20 00 00 00 00 00 08 
31:52.8,0x168,CAN 1,186,5D 00 C8 00 00 00 00 05 
31:52.8,0x271,CAN 1,82,B4 00 00 00 00 00 00 49 
31:52.8,0x265,CAN 1,82,A9 20 00 00 00 00 00 09 
31:52.8,0x168,CAN 1,187,7A 00 C8 00 00 00 00 06 
31:52.9,0x271,CAN 1,83,93 00 00 00 00 00 00 4A 
31:52.9,0x265,CAN 1,83,8E 20 00 00 00 00 00 0A 
31:52.9,0x168,CAN 1,188,67 00 C8 00 00 00 00 07 
31:52.9,0x271,CAN 1,84,8E 00 00 00 00 00 00 4B 
31:52.9,0x265,CAN 1,84,93 20 00 00 00 00 00 0B 
31:52.9,0x168,CAN 1,189,DC 00 C8 00 00 00 00 08 
31:52.9,0x271,CAN 1,85,DD 00 00 00 00 00 00 4C 
31:52.9,0x265,CAN 1,85,C0 20 00 00 00 00 00 0C 
31:52.9,0x168,CAN 1,190,C1 00 C8 00 00 00 00 09 
31:52.9,0x271,CAN 1,86,C0 00 00 00 00 00 00 4D 
31:52.9,0x265,CAN 1,86,DD 20 00 00 00 00 00 0D 
31:52.9,0x168,CAN 1,191,E6 00 C8 00 00 00 00 0A 
31:52.9,0x271,CAN 1,87,E7 00 00 00 00 00 00 4E 
31:52.9,0x265,CAN 1,87,FA 20 00 00 00 00 00 0E 
31:52.9,0x168,CAN 1,192,FB 00 C8 00 00 00 00 0B 
31:53.0,0x265,CAN 1,88,E7 20 00 00 00 00 00 0F 
31:53.0,0x271,CAN 1,88,FA 00 00 00 00 00 00 4F 
31:53.0,0x168,CAN 1,193,A8 00 C8 00 00 00 00 0C 
31:53.0,0x265,CAN 1,89,5C 20 00 00 00 00 00 00 
